v_net_count,success_count,inservice_count,total_revenue,total_cost,total_time_revenue,total_time_cost,long_term_r2c_ratio,long_term_time_r2c_ratio,num_running_p_net_nodes,event_id,event_type,event_time,p_net_available_resource,p_net_node_available_resource,p_net_link_available_resource,p_net_node_resource_utilization,p_net_link_resource_utilization,v_net_id,v_net_lifetime,v_net_arrival_time,v_net_departure_time,v_net_num_nodes,v_net_num_egdes,result,node_slots,link_paths,node_slots_info,link_paths_info,node_slots_by_time,link_paths_by_time,node_migrations,active_time_slots,current_time_slot,v_net_cost,v_net_revenue,v_net_demand,v_net_node_demand,v_net_link_demand,v_net_node_revenue,v_net_link_revenue,v_net_node_cost,v_net_link_cost,v_net_path_cost,v_net_r2c_ratio,v_net_time_cost,v_net_time_revenue,v_net_time_rc_ratio,description,v_net_violation,v_net_single_step_violation,v_net_place_violation,v_net_route_violation,v_net_budget,v_net_place_budget,v_net_route_budget,place_result,route_result,early_rejection,revoke_times,selected_actions,num_placed_nodes,num_routed_links
1,1,1,26.666666666666664,59.666666666666664,5487.7065921497315,12278.743499935024,0.44692737430167595,0.44692737430167595,2,0,1,10.0,13392,8923,4469,0.0052396878483834675,0.00974961223133175,0,205.78899720561495,10.0,215.78899720561495,2,1,True,"{0: np.int64(1), 1: np.int64(23)}","{(0, 1): [(np.int64(1), 0), (0, 4), (4, 5), (5, 23)]}","{(0, np.int64(1)): {'cpu': 19, 'gpu': 13, 'ram': 3}, (1, np.int64(23)): {'cpu': 8, 'gpu': 2, 'ram': 2}}","{((0, 1), (np.int64(1), 0)): {'bw': 11}, ((0, 1), (0, 4)): {'bw': 11}, ((0, 1), (4, 5)): {'bw': 11}, ((0, 1), (5, 23)): {'bw': 11}}",OrderedDict(),OrderedDict(),OrderedDict(),[],,59.666666666666664,26.666666666666664,31.333333333333332,15.666666666666666,11,15.666666666666666,11,15.666666666666666,44,33,0.44692737430167595,12278.743499935024,5487.7065921497315,91.97273618128042,Success,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,0,[],2.0,1.0
2,2,2,85.0,142.0,35955.57104425569,55281.95789805029,0.5985915492957746,0.6504033578290429,5,1,1,19.0,13245,8826,4419,0.016053511705685586,0.020828717039663158,1,522.3062477503878,19.0,541.3062477503878,3,2,True,"{0: np.int64(10), 1: np.int64(15), 2: np.int64(29)}","{(0, 2): [(np.int64(10), 3), (3, 4), (4, 29)], (1, 2): [(np.int64(15), 29)]}","{(0, np.int64(10)): {'cpu': 13, 'gpu': 8, 'ram': 2}, (1, np.int64(15)): {'cpu': 16, 'gpu': 19, 'ram': 20}, (2, np.int64(29)): {'cpu': 8, 'gpu': 8, 'ram': 3}}","{((0, 2), (np.int64(10), 3)): {'bw': 12}, ((0, 2), (3, 4)): {'bw': 12}, ((0, 2), (4, 29)): {'bw': 12}, ((1, 2), (np.int64(15), 29)): {'bw': 14}}",OrderedDict(),OrderedDict(),OrderedDict(),[],,82.33333333333334,58.333333333333336,64.66666666666667,32.333333333333336,26,32.333333333333336,26,32.333333333333336,50,24,0.7085020242914979,43003.21439811527,30467.864452105958,370.05503383124636,Success,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,0,[],3.0,2.0
3,3,3,112.66666666666666,208.66666666666666,42308.50366388376,70590.22927064807,0.5399361022364217,0.5993535380324363,6,2,1,37.0,13149,8782,4367,0.02095875139353398,0.032350986040327934,2,229.62407058896667,37.0,266.6240705889667,2,1,True,"{0: np.int64(23), 1: np.int64(34)}","{(0, 1): [(np.int64(23), 5), (5, 4), (4, 0), (0, 34)]}","{(0, np.int64(23)): {'cpu': 0, 'gpu': 3, 'ram': 11}, (1, np.int64(34)): {'cpu': 4, 'gpu': 13, 'ram': 13}}","{((0, 1), (np.int64(23), 5)): {'bw': 13}, ((0, 1), (5, 4)): {'bw': 13}, ((0, 1), (4, 0)): {'bw': 13}, ((0, 1), (0, 34)): {'bw': 13}}",OrderedDict(),OrderedDict(),OrderedDict(),[],,66.66666666666666,27.666666666666664,29.333333333333332,14.666666666666666,13,14.666666666666666,13,14.666666666666666,52,39,0.41500000000000004,15308.271372597776,6352.932619628077,95.29398929442118,Success,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,0,[],2.0,1.0
4,4,4,161.33333333333331,314.3333333333333,118962.64122658908,237024.2128828233,0.513255567338282,0.5019007964616685,6,3,1,51.0,12984,8693,4291,0.03088071348940913,0.049191225348991785,3,1575.085018411753,51.0,1626.085018411753,3,2,True,"{0: np.int64(1), 1: np.int64(23), 2: np.int64(10)}","{(0, 1): [(np.int64(1), 0), (0, 4), (4, 5), (5, 23)], (0, 2): [(np.int64(1), 0), (0, 4), (4, 3), (3, 10)]}","{(0, np.int64(1)): {'cpu': 11, 'gpu': 16, 'ram': 8}, (1, np.int64(23)): {'cpu': 16, 'gpu': 19, 'ram': 0}, (2, np.int64(10)): {'cpu': 14, 'gpu': 1, 'ram': 4}}","{((0, 1), (np.int64(1), 0)): {'bw': 6}, ((0, 1), (0, 4)): {'bw': 6}, ((0, 1), (4, 5)): {'bw': 6}, ((0, 1), (5, 23)): {'bw': 6}, ((0, 2), (np.int64(1), 0)): {'bw': 13}, ((0, 2), (0, 4)): {'bw': 13}, ((0, 2), (4, 3)): {'bw': 13}, ((0, 2), (3, 10)): {'bw': 13}}",OrderedDict(),OrderedDict(),OrderedDict(),[],,105.66666666666667,48.66666666666667,59.333333333333336,29.666666666666668,19,29.666666666666668,19,29.666666666666668,76,57,0.4605678233438486,166433.98361217525,76654.13756270532,725.4334785114067,Success,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,0,[],3.0,2.0
5,5,5,208.99999999999997,399.0,122566.97665515727,243426.31916853183,0.5238095238095237,0.5035074969453086,8,4,1,62.0,12830,8589,4241,0.04247491638795986,0.060270330157323304,4,75.61542857136058,62.0,137.61542857136058,3,2,True,"{0: np.int64(18), 1: np.int64(29), 2: np.int64(2)}","{(0, 1): [(np.int64(18), 9), (9, 29)], (0, 2): [(np.int64(18), 9), (9, 8), (8, 4), (4, 2)]}","{(0, np.int64(18)): {'cpu': 7, 'gpu': 18, 'ram': 11}, (1, np.int64(29)): {'cpu': 15, 'gpu': 8, 'ram': 6}, (2, np.int64(2)): {'cpu': 9, 'gpu': 15, 'ram': 15}}","{((0, 1), (np.int64(18), 9)): {'bw': 1}, ((0, 1), (9, 29)): {'bw': 1}, ((0, 2), (np.int64(18), 9)): {'bw': 12}, ((0, 2), (9, 8)): {'bw': 12}, ((0, 2), (8, 4)): {'bw': 12}, ((0, 2), (4, 2)): {'bw': 12}}",OrderedDict(),OrderedDict(),OrderedDict(),[],,84.66666666666666,47.666666666666664,69.33333333333333,34.666666666666664,13,34.666666666666664,13,34.666666666666664,50,37,0.562992125984252,6402.106285708529,3604.3354285681876,42.570890888600644,Success,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,0,[],3.0,2.0
6,6,6,279.3333333333333,607.3333333333334,194338.3548884276,456019.26417229464,0.4599341383095499,0.42616259916379773,12,5,1,76.0,12557,8492,4065,0.05328874024526198,0.09926877908265008,5,1020.4461360180615,76.0,1096.4461360180615,4,3,True,"{0: np.int64(20), 1: np.int64(24), 2: np.int64(28), 3: np.int64(39)}","{(0, 3): [(np.int64(20), 12), (12, 22), (22, 23), (23, 5), (5, 3), (3, 30), (30, 39)], (1, 2): [(np.int64(24), 25), (25, 9), (9, 29), (29, 28)], (1, 3): [(np.int64(24), 34), (34, 0), (0, 30), (30, 39)]}","{(0, np.int64(20)): {'cpu': 3, 'gpu': 10, 'ram': 5}, (1, np.int64(24)): {'cpu': 18, 'gpu': 12, 'ram': 11}, (2, np.int64(28)): {'cpu': 15, 'gpu': 6, 'ram': 0}, (3, np.int64(39)): {'cpu': 3, 'gpu': 3, 'ram': 11}}","{((0, 3), (np.int64(20), 12)): {'bw': 8}, ((0, 3), (12, 22)): {'bw': 8}, ((0, 3), (22, 23)): {'bw': 8}, ((0, 3), (23, 5)): {'bw': 8}, ((0, 3), (5, 3)): {'bw': 8}, ((0, 3), (3, 30)): {'bw': 8}, ((0, 3), (30, 39)): {'bw': 8}, ((1, 2), (np.int64(24), 25)): {'bw': 20}, ((1, 2), (25, 9)): {'bw': 20}, ((1, 2), (9, 29)): {'bw': 20}, ((1, 2), (29, 28)): {'bw': 20}, ((1, 3), (np.int64(24), 34)): {'bw': 10}, ((1, 3), (34, 0)): {'bw': 10}, ((1, 3), (0, 30)): {'bw': 10}, ((1, 3), (30, 39)): {'bw': 10}}",OrderedDict(),OrderedDict(),OrderedDict(),[],,208.33333333333334,70.33333333333334,64.66666666666667,32.333333333333336,38,32.333333333333336,38,32.333333333333336,176,138,0.3376,212592.9450037628,71771.37823327033,344.50261551969754,Success,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,0,[],4.0,3.0
7,7,7,318.3333333333333,684.3333333333334,206851.6839503464,480725.067704801,0.46517291768144176,0.43029102879521125,14,6,1,97.0,12440,8432,4008,0.059977703455964315,0.111898958564148,6,320.8545913312513,97.0,417.8545913312513,2,1,True,"{0: np.int64(5), 1: np.int64(9)}","{(0, 1): [(np.int64(5), 4), (4, 8), (8, 9)]}","{(0, np.int64(5)): {'cpu': 11, 'gpu': 15, 'ram': 2}, (1, np.int64(9)): {'cpu': 5, 'gpu': 8, 'ram': 19}}","{((0, 1), (np.int64(5), 4)): {'bw': 19}, ((0, 1), (4, 8)): {'bw': 19}, ((0, 1), (8, 9)): {'bw': 19}}",OrderedDict(),OrderedDict(),OrderedDict(),[],,77.0,39.0,40.0,20.0,19,20.0,19,20.0,57,38,0.5064935064935064,24705.80353250635,12513.329061918801,162.51076703790648,Success,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,0,[],2.0,1.0
8,8,8,393.66666666666663,885.6666666666667,267645.7620062836,643201.2763144738,0.44448626270229574,0.41611509781181827,17,7,1,110.0,12158,8311,3847,0.07346711259754735,0.14757367604697536,7,807.0010361407591,110.0,917.0010361407591,4,4,True,"{0: np.int64(11), 1: np.int64(10), 2: np.int64(19), 3: np.int64(8)}","{(0, 1): [(np.int64(11), 13), (13, 22), (22, 23), (23, 5), (5, 3), (3, 10)], (0, 2): [(np.int64(11), 13), (13, 22), (22, 23), (23, 5), (5, 3), (3, 19)], (0, 3): [(np.int64(11), 13), (13, 12), (12, 15), (15, 9), (9, 8)], (2, 3): [(np.int64(19), 3), (3, 4), (4, 8)]}","{(0, np.int64(11)): {'cpu': 14, 'gpu': 7, 'ram': 3}, (1, np.int64(10)): {'cpu': 20, 'gpu': 9, 'ram': 14}, (2, np.int64(19)): {'cpu': 3, 'gpu': 9, 'ram': 18}, (3, np.int64(8)): {'cpu': 3, 'gpu': 9, 'ram': 12}}","{((0, 1), (np.int64(11), 13)): {'bw': 3}, ((0, 1), (13, 22)): {'bw': 3}, ((0, 1), (22, 23)): {'bw': 3}, ((0, 1), (23, 5)): {'bw': 3}, ((0, 1), (5, 3)): {'bw': 3}, ((0, 1), (3, 10)): {'bw': 3}, ((0, 2), (np.int64(11), 13)): {'bw': 9}, ((0, 2), (13, 22)): {'bw': 9}, ((0, 2), (22, 23)): {'bw': 9}, ((0, 2), (23, 5)): {'bw': 9}, ((0, 2), (5, 3)): {'bw': 9}, ((0, 2), (3, 19)): {'bw': 9}, ((0, 3), (np.int64(11), 13)): {'bw': 10}, ((0, 3), (13, 12)): {'bw': 10}, ((0, 3), (12, 15)): {'bw': 10}, ((0, 3), (15, 9)): {'bw': 10}, ((0, 3), (9, 8)): {'bw': 10}, ((2, 3), (np.int64(19), 3)): {'bw': 13}, ((2, 3), (3, 4)): {'bw': 13}, ((2, 3), (4, 8)): {'bw': 13}}",OrderedDict(),OrderedDict(),OrderedDict(),[],,201.33333333333334,75.33333333333334,80.66666666666667,40.333333333333336,35,40.333333333333336,35,40.333333333333336,161,126,0.3741721854304636,162476.20860967285,60794.07805593719,301.9573413374364,Success,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,0,[],4.0,4.0
9,9,9,404.99999999999994,899.0000000000001,271810.56038195663,648101.0391093832,0.450500556173526,0.41939534729874395,18,8,1,122.0,12124,8280,3844,0.07692307692307687,0.14823842233547524,8,367.4822096182083,122.0,489.4822096182083,2,1,True,"{0: np.int64(20), 1: np.int64(27)}","{(0, 1): [(np.int64(20), 12), (12, 22), (22, 27)]}","{(0, np.int64(20)): {'cpu': 7, 'gpu': 1, 'ram': 2}, (1, np.int64(27)): {'cpu': 7, 'gpu': 12, 'ram': 2}}","{((0, 1), (np.int64(20), 12)): {'bw': 1}, ((0, 1), (12, 22)): {'bw': 1}, ((0, 1), (22, 27)): {'bw': 1}}",OrderedDict(),OrderedDict(),OrderedDict(),[],,13.333333333333334,11.333333333333334,20.666666666666668,10.333333333333334,1,10.333333333333334,1,10.333333333333334,3,2,0.85,4899.762794909444,4164.798375673027,312.35987817547704,Success,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,0,[],2.0,1.0
10,10,10,419.99999999999994,924.0000000000001,280330.1023620441,662300.2757428624,0.4545454545454544,0.42326737981139245,20,9,1,133.0,12079,8250,3829,0.08026755852842804,0.15156215377797477,9,567.9694653391647,133.0,700.9694653391647,2,1,True,"{0: np.int64(30), 1: np.int64(33)}","{(0, 1): [(np.int64(30), 0), (0, 1), (1, 33)]}","{(0, np.int64(30)): {'cpu': 5, 'gpu': 4, 'ram': 11}, (1, np.int64(33)): {'cpu': 8, 'gpu': 0, 'ram': 2}}","{((0, 1), (np.int64(30), 0)): {'bw': 5}, ((0, 1), (0, 1)): {'bw': 5}, ((0, 1), (1, 33)): {'bw': 5}}",OrderedDict(),OrderedDict(),OrderedDict(),[],,25.0,15.0,20.0,10.0,5,10.0,5,10.0,15,10,0.6,14199.236633479117,8519.54198008747,340.7816792034988,Success,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,0,[],2.0,1.0
